time,s,i,v,p_s,p_i,phi
15.000000,0.397530,0.040098,0.050000,32.307756,311.519302,-10.843293
15.100000,0.395064,0.040176,0.050000,32.133730,309.826376,-10.694875
15.200000,0.392612,0.040250,0.050000,31.960024,308.154800,-10.547901
15.300000,0.390175,0.040322,0.050000,31.786646,306.504202,-10.402362
15.400000,0.387752,0.040390,0.050000,31.613601,304.874221,-10.258249
15.500000,0.385344,0.040456,0.050000,31.440896,303.264500,-10.115553
15.600000,0.382949,0.040519,0.050000,31.268538,301.674691,-9.974267
15.700000,0.380569,0.040580,0.050000,31.096532,300.104452,-9.834379
15.800000,0.378203,0.040637,0.050000,30.924886,298.553450,-9.695883
15.900000,0.375851,0.040692,0.050000,30.753605,297.021354,-9.558769
16.000000,0.373513,0.040744,0.050000,30.582696,295.507845,-9.423028
16.100000,0.371189,0.040793,0.050000,30.412166,294.012606,-9.288652
16.200000,0.368878,0.040839,0.050000,30.242020,292.535329,-9.155630
16.300000,0.366582,0.040883,0.050000,30.072264,291.075710,-9.023955
16.400000,0.364300,0.040924,0.050000,29.902905,289.633452,-8.893617
16.500000,0.362031,0.040962,0.050000,29.733949,288.208264,-8.764607
16.600000,0.359776,0.040997,0.050000,29.565401,286.799861,-8.636917
16.700000,0.357534,0.041029,0.050000,29.397268,285.407961,-8.510537
16.800000,0.355307,0.041059,0.050000,29.229556,284.032290,-8.385457
16.900000,0.353093,0.041086,0.050000,29.062270,282.672579,-8.261670
17.000000,0.350892,0.041111,0.050000,28.895416,281.328563,-8.139166
17.100000,0.348705,0.041132,0.050000,28.729001,279.999982,-8.017935
17.200000,0.346531,0.041151,0.050000,28.563029,278.686583,-7.897969
17.300000,0.344370,0.041168,0.050000,28.397506,277.388114,-7.779259
17.400000,0.342223,0.041181,0.050000,28.232439,276.104332,-7.661795
17.500000,0.340089,0.041192,0.050000,28.067832,274.834997,-7.545568
17.600000,0.337969,0.041201,0.050000,27.903691,273.579871,-7.430570
17.700000,0.335861,0.041206,0.050000,27.740021,272.338723,-7.316790
17.800000,0.333766,0.041209,0.050000,27.576828,271.111327,-7.204221
17.900000,0.331685,0.041210,0.050000,27.414117,269.897459,-7.092852
18.000000,0.329617,0.041208,0.050000,27.251893,268.696900,-6.982675
18.100000,0.327561,0.041203,0.050000,27.090162,267.509435,-6.873680
18.200000,0.325518,0.041196,0.050000,26.928929,266.334854,-6.765858
18.300000,0.323488,0.041186,0.050000,26.768198,265.172948,-6.659201
18.400000,0.321471,0.041174,0.050000,26.607975,264.023515,-6.553699
18.500000,0.319467,0.041160,0.050000,26.448265,262.886356,-6.449342
18.600000,0.317475,0.041143,0.050000,26.289073,261.761272,-6.346123
18.700000,0.315496,0.041123,0.050000,26.130403,260.648073,-6.244031
18.800000,0.313529,0.041101,0.050000,25.972260,259.546569,-6.143058
18.900000,0.311575,0.041077,0.050000,25.814650,258.456574,-6.043195
19.000000,0.309633,0.041050,0.050000,25.657576,257.377906,-5.944432
19.100000,0.307704,0.041021,0.050000,25.501043,256.310384,-5.846760
